iso3,year,mu,sigma,n,N_s,N_r,cj_ratio,real_gdp,inflation,unemployment,population,intrest,market_cap,elec_dem,lib_dem
NZL,2018,0.000191348259493926,0.00659379238065653,251,129,122,1.05737704918033,251033,112.420593261719,4.32499980926514,4.90199995040894,1.75,86132630000,0.888,0.835
NZL,2019,0.00105821092683274,0.00609693921332847,251,116,135,0.859259259259259,258763,114.240829467773,4.125,4.98600006103516,1,107879780000,0.886,0.835
NZL,2020,0.000519248439575257,0.0134347954215001,251,133,118,1.1271186440678,255226,116.199676513672,4.59999990463257,5.08599996566773,0.25,132198460000,0.883,0.829
NZL,2021,-0.0000176501436826795,0.00658737363061057,251,113,138,0.818840579710145,269639,120.77953338623,3.77500009536743,5.11100006103516,0.75,122933780000,0.874,0.817
NZL,2022,-0.000514218781972571,0.0081719873611544,248,114,134,0.850746268656716,276006,129.441833496094,3.29999995231628,5.125,4.25,97545700000,0.878,0.823
NZL,2023,0.000102723630035432,0.00575881424485695,249,129,120,1.075,277761,136.862930297852,3.72499990463257,5.24399995803833,5.5,,0.878,0.825
NZL,2024,0.000429626246761055,0.00667932514243731,251,128,123,1.04065040650407,277868,140.586578369141,5.13199996948242,5.35799980163574,4.25,,0.863,0.809
OMN,1992,-0.000210113468459652,0.00584389382724412,253,155,98,1.58163265306122,13763,75.3928833007813,,1.97899997234344,7.30000019073486,,0.015,0.083
OMN,1993,0.0000244072624409615,0.00432042196015498,253,139,114,1.21929824561404,14608,76.2489547729492,,2.04699993133545,7.30000019073486,1611300000,0.015,0.082
OMN,1994,0.000996232417460026,0.00590394291195815,252,105,147,0.714285714285714,15170,75.7500534057617,,2.11199998855591,7.30000019073486,2133000000,0.015,0.082
OMN,1995,0.000312865295180804,0.00566031151984131,252,144,108,1.33333333333333,15903,74.8928527832031,,2.17199993133545,7.30000019073486,2378600000,0.015,0.083
OMN,1996,0.000911686116540202,0.00490262504917267,254,109,145,0.751724137931034,16362,75.2636184692383,,2.22499990463257,7.30000019073486,3043640000,0.015,0.085
OMN,1997,0.0034777922679614,0.0133650987064806,253,107,146,0.732876712328767,17373,74.9937591552734,,2.2739999294281,7.30000019073486,7495580000,0.015,0.086
OMN,1998,-0.00295067957586976,0.0155989333204265,252,165,87,1.89655172413793,17843,75.3146438598633,,2.31800007820129,7.30000019073486,4391690000,0.017,0.086
OMN,1999,0.000361467873191914,0.0123808227567186,252,133,119,1.11764705882353,17896,75.7001647949219,,2.36100006103516,7.30000019073486,4177360000,0.017,0.088
OMN,2000,-0.000865963610958077,0.01064030754713,252,143,109,1.31192660550459,19004,74.7941970825195,,2.40199995040894,7.30000019073486,4177360000,0.051,0.105
OMN,2001,-0.00117289524940398,0.00644942940866149,248,148,100,1.48,19881,74.1649017333984,,2.44300007820129,7.5,4063100000,0.101,0.112
OMN,2002,0.000965775115412715,0.00503105301289638,252,136,116,1.17241379310345,19725,73.9528732299805,,2.48399996757507,7.5,,0.148,0.123
OMN,2003,0.00138530213994219,0.00538103925567504,252,135,117,1.15384615384615,19292,74.0900802612305,,2.52600002288818,,,0.152,0.124
OMN,2004,0.000804606776646013,0.00525917388212915,252,134,118,1.13559322033898,19677,74.6513366699219,,2.5699999332428,,9434910000,0.159,0.126
OMN,2005,0.00151051807411544,0.0103755687680442,252,137,115,1.19130434782609,20224,76.0403213500977,,2.61800003051758,,15268930000,0.159,0.126
OMN,2006,0.000539226519205079,0.00830954837561124,251,127,124,1.0241935483871,21168,78.4769897460938,,2.67000007629395,,16103990000,0.159,0.128
OMN,2007,0.0019190707737379,0.0074761569503438,251,118,133,0.887218045112782,22222,83.1008911132813,,2.7260000705719,,26682250000,0.159,0.129
OMN,2008,-0.00200463196827377,0.0243994416272603,253,123,130,0.946153846153846,24211,93.5381088256836,4.14200019836426,2.78500008583069,0.910000026226044,20588940000,0.157,0.129
OMN,2009,0.000624706724435861,0.017146431431949,252,145,107,1.35514018691589,25659,96.8467254638672,,2.88299989700317,0.0500000007450581,22468970000,0.157,0.129
OMN,2010,0.000233571740365227,0.0058290044541574,252,131,121,1.08264462809917,26294,100,,2.99799990653992,,28315950000,0.157,0.13
OMN,2011,-0.00067722789019125,0.00848476041608921,252,157,95,1.65263157894737,27055,104.061500549316,,3.29500007629395,0.100000001490116,26863320000,0.167,0.138
OMN,2012,0.0000458943276668501,0.00520115684741316,250,140,110,1.27272727272727,29453,107.121795654297,,3.62299990653992,0.0900000035762787,30291300000,0.172,0.141
OMN,2013,0.00072727162488697,0.00550299100574274,235,111,124,0.895161290322581,30992,108.548202514648,,3.85500001907349,7.5,36766600000,0.172,0.144
OMN,2014,-0.000392660749002719,0.0129498601424604,190,103,87,1.18390804597701,31393,109.847602844238,,3.99200010299683,7.5,37830490000,0.172,0.143
OMN,2015,-0.000819673730942646,0.453411685287597,195,104,91,1.14285714285714,32968,110.002944946289,,4.15899991989136,1.35000002384186,41123170000,0.172,0.143
